,0
מֵאֵימָתַי,מאימתיי
קוֹרִין,קורין
אֶת,את
שְׁמַע,שמע
בָּעֲרָבִין,בערבין
מִשָּׁעָה,משעה
שֶׁהַכֹּהֲנִים,שהכהנים
נִכְנָסִים,נכנסים
לֶאֱכֹל,לאכול
בִּתְרוּמָתָן,בתרומתן
עַד,עד
סוֹף,סוף
הָאַשְׁמוּרָה,האשמורה
הָרִאשׁוֹנָה,הראשונה
דִּבְרֵי,דברי
אֱלִיעֶזֶר,אליעזר
וַחֲכָמִים,וחכמים
אוֹמְרִים,אומרים
חֲצוֹת,חצות
רַבָּן,רבן
גַּמְלִיאֵל,גמליאל
אוֹמֵר,אומר
שֶׁיַּעֲלֶה,שיעלה
עַמּוּד,עמוד
הַשַּׁחַר,השחר
מַעֲשֶׂה,מעשה
וּבָאוּ,ובאו
בָנָיו,בניו
מִבֵּית,מבית
הַמִּשְׁתֶּה,המשתה
אָמְרוּ,אמרו
לוֹ,לו
לֹא,לא
קָרִינוּ,קרינו
אָמַר,אמר
לָהֶם,להם
אִם,אם
עָלָה,עלה
חַיָּבִין,חייבין
אַתֶּם,אתם
לִקְרוֹת,לקרות
וְלֹא,ולא
זוֹ,זו
בִּלְבַד,בלבד
אֶלָּא,אלא
כָּל,כל
מַה,מה
שֶּׁאָמְרוּ,שאמרו
חֲכָמִים,חכמים
מִצְוָתָן,מצוותן
הֶקְטֵר,הקטר
חֲלָבִים,חלבים
וְאֵבָרִים,ואברים
וְכׇל,וכל
הַנֶּאֱכָלִים,הנאכלים
לְיוֹם,ליום
אֶחָד,אחד
לָמָה,למה
כְּדֵי,כדי
לְהַרְחִיק,להרחיק
אָדָם,אדם
מִן,מן
הָעֲבֵרָה,העבירה
גמ',גמ'
תַּנָּא,תנא
הִיכָא,היכא
קָאֵי,קאי
דְּקָתָנֵי,דקתני
וְתוּ,ותו
מַאי,מאי
שְׁנָא,שנא
דְּתָנֵי,דתני
בְּעַרְבִית,בערבית
בְּרֵישָׁא,ברישא
לִתְנֵי,ליתני
דְּשַׁחֲרִית,דשחרית
אַקְּרָא,אקרא
דִּכְתִיב,דכתיב
בְּשָׁכְבְּךָ,בשכבך
וּבְקוּמֶךָ,ובקומך
וְהָכִי,והכי
קָתָנֵי,קתני
זְמַן,זמן
קְרִיאַת,קריאת
דִּשְׁכִיבָה,דשכיבה
אֵימַת,אימת
נִכְנָסִין,נכנסין
וְאִי,ואי
בָּעֵית,בעית
אֵימָא,אימא
יָלֵיף,יליף
מִבְּרִיָּתוֹ,מברייתו
שֶׁל,של
עוֹלָם,עולם
עֶרֶב,ערב
וַיְהִי,ויהי
בֹקֶר,בקר
יוֹם,יום
אִי,אי
הָכִי,הכי
סֵיפָא,סיפא
בַּשַּׁחַר,בשחר
מְבָרֵךְ,מברך
שְׁתַּיִם,שתיים
לְפָנֶיהָ,לפניה
וְאַחַת,ואחת
לְאַחֲרֶיהָ,לאחריה
בָּעֶרֶב,בערב
וּשְׁתַּיִם,ושתיים
דְּעַרְבִית,דערבית
פָּתַח,פתח
וַהֲדַר,והדר
תָּנֵי,תני
בְּשַׁחֲרִית,בשחרית
דְּקָאֵי,דקאי
פָּרֵשׁ,פריש
מִלֵּי,מילי
דְשַׁחֲרִית,דשחרית
דְעַרְבִית,דערבית
מָר,מר
מִכְּדִי,מכדי
כֹּהֲנִים,כהנים
קָא,קא
אָכְלִי,אכלי
תְּרוּמָה,תרומה
מִשְּׁעַת,משעת
צֵאת,צאת
הַכּוֹכָבִים,הכוכבים
מִלְּתָא,מילתא
אַגַּב,אגב
אוֹרְחֵהּ,אורחיה
קָמַשְׁמַע,קמשמע
לַן,לן
בִּתְרוּמָה,בתרומה
וְהָא,והא
דְּכַפָּרָה,דכפרה
לָא,לא
מְעַכְּבָא,מעכבא
כִּדְתַנְיָא,כדתניא
וּבָא,ובא
הַשֶּׁמֶשׁ,השמש
וְטָהֵר,וטהר
בִּיאַת,ביאת
שִׁמְשׁוֹ,שמשו
מְעַכַּבְתּוֹ,מעכבתו
מִלֶּאֱכוֹל,מלאכול
וְאֵין,ואין
כַּפָּרָתוֹ,כפרתו
וּמִמַּאי,וממאי
דְּהַאי,דהאי
וְהַאי,והאי
טְהַר,טהר
יוֹמָא,יומא
דִּלְמָא,דילמא
אוֹרוֹ,אורו
הוּא,הוא
וּמַאי,ומאי
גַּבְרָא,גברא
רַבָּהּ,רבה
בַּר,בר
רַב,רב
שֵׁילָא,שילא
לֵימָא,לימא
קְרָא,קרא
וְיִטְהָר,ויטהר
כִּדְאָמְרִי,כדאמרי
אִינָשֵׁי,אינשי
אִעֲרַב,איערב
שִׁמְשָׁא,שימשא
וְאִדַּכִּי,ואדכי
בְּמַעְרְבָא,במערבא
הָא,הא
דְּרַבָּהּ,דרבה
שְׁמִעַ,שמיע
לְהוּ,להו
וּבְעוֹ,ובעו
לַהּ,לה
מִבַּעְיָא,מיבעיא
הַאי,האי
טַהַר,טהר
אוֹ,או
דִלְמָא,דלמא
פָּשְׁטוּ,פשטו
לָה,לה
מִבָּרָיְתָא,מברייתא
מִדְּקָתְנֵי,מדקתני
בַּבְּרִיָּתָא,בברייתא
סִימָן,סימן
לְדַבַּר,לדבר
מִינַהּ,מינה
וּרְמִינְהוּ,ורמינהו
מִשֶּׁהֶעָנִי,משהעני
נִכְנָס,נכנס
לֶאֱכוֹל,לאכול
פִּתּוֹ,פיתו
בְּמֶלַח,במלח
שָׁעָה,שעה
שֶׁעוֹמֵד,שעומד
לִפָּטֵר,ליפטר
מִתּוֹךְ,מתוך
סְעֻדָּתוֹ,סעודתו
וַדַּאי,ודאי
פְּלִיגָא,פליגא
אַמַּתְנִיתִין,אמתניתין
רֵישָׁא,רישא
מִי,מי
פְּלִיגִי,פליגי
עָנִי,עני
וְכֹהֵן,וכהן
חַד,חד
שִׁעוּרָא,שיעורא
מַתְחִילִין,מתחילין
שֶׁבְּנֵי,שבני
פִּתָּן,פיתן
בְּעַרְבֵי,בערבי
שַׁבָּתוֹת,שבתות
זַכָּאִין,זכאין
לַדָּבָר,לדבר
שֶׁאֵין,שאין
רְאָיָה,ראיה
זֵכֶר,זכר
שֶׁנֶּאֱמַר,שנאמר
וַאֲנַחְנוּ,ואנחנו
עֹשִׂים,עושים
בַּמְּלָאכָה,במלאכה
וְחֶצְיָם,וחצים
מַחֲזִיקִים,מחזיקים
בָּרְמָחִים,ברמחים
מֵעֲלוֹת,מעלות
וְאוֹמֵר,ואומר
וְהָיוּ,והיו
לָנוּ,לנו
הַלַּיְלָה,הלילה
מִשְׁמָר,משמר
וְהַיּוֹם,והיום
מְלָאכָה,מלאכה
וְכִי,וכי
תֵּימָא,תימא
מִכִּי,מכי
עָרְבָא,ערבא
לֵילְיָא,ליליא
וְאִינְהוּ,ואינהו
דְּמַחְשְׁכִי,דמחשכי
וּמַקְדְּמִי,ומקדמי
סָלְקָא,סלקא
דַּעְתָּךְ,דעתך
דְּעָנִי,דעני
וּבְנֵי,ובני
אָמְרַתְּ,אמרת
הָיִינוּ,היינו
רַבִּי,רבי
מֵאִיר,מאיר
מִנַּהּ,מינה
לְחוּד,לחוד
וְעָנִי,וְעָנִי
לָאו,לאו
שֶׁקָּדַשׁ,שקדש
הַיּוֹם,היום
יְהוֹשֻׁעַ,יהושוע
מְטֹהָרִים,מטוהרים
טוֹבְלִין,טובלין
יְהוּדָה,יהודה
וַהֲלֹא,והלא
מִבְּעוֹד,מבעוד
הֵם,הם
טוֹבְלִים,טובלים
חֲנִינָא,חנינא
שֶׁעָנִי,שעני
אַחַאי,אחאי
וְאָמְרִי,ואמרי
אַחָא,אחא
שֶׁרֹב,שרוב
בְּנֵי,בני
לְהָסֵב,להסב
הַיְנוּ,היינו
וְשִׁעוּרָא,ושעורא
דְּכֹהֵן,דכהן
הֵי,הי
מִנַּיְהוּ,מינייהו
מְאֻחָר,מאוחר
מִסְתַּבְּרָא,מסתברא
דְּאִי,דאי
אָמַרְתָּ,אמרת
מֻקְדָּם,מוקדם
אֲמַר,אמר
לֵהּ,ליה
שַׁפִּיר,שפיר
קָאֲמַר,קאמר
לְרַבִּי,לרבי
וְרַבִּי,ורבי
סָבְרַתְּ,סברת
דַּאֲנָא,דאנא
אַבֵּין,אבין
הַשְּׁמָשׁוֹת,השמשות
דִּידָךְ,דידך
אָמֵינָא,אמינא
אֲנָא,אנא
אַבֵּן,אבין
דְּרַבִּי,דרבי
יוֹסֵי,יוסי
דְּאָמַר,דאמר
יוֹסִי,יוסי
בֵּין,בין
כְּהֶרֶף,כהרף
עַיִן,עין
זֶה,זה
וְזֶה,וזה
יוֹצֵא,יוצא
אֶפְשָׁר,אפשר
לַעֲמֹד,לעמוד
עָלָיו,עליו
קַשְׁיָא,קשיא
תְּרֵי,תרי
תַּנָּאֵי,תנאי
אַלִּבָּא,אליבא
הִיא,היא
קָסָבַר,קסבר
שָׁלֹשׁ,שלוש
מִשְׁמָרוֹת,משמרות
הָוֵי,הוי
אַרְבַּע,ארבע
שָׁעוֹת,שעות
לְעוֹלָם,לעולם
דְּאִיכָּא,דאיכא
בָּרָקִיעַ,ברקיע
וְאִיכָּא,ואיכא
בְּאַרְעָא,בארעא
דְּתַנְיָא,דתניא
וְעַל,ועל
וּמִשְׁמָר,ומשמר
יוֹשֵׁב,יושב
וְשׁוֹאֵג,ושואג
כָּאֲרִי,כארי
ה',ה'
מִמָּרוֹם,ממרום
יִשְׁאָג,ישאג
וּמִמְּעוֹן,וממעון
קָדְשׁוֹ,קדשו
יִתֵּן,ייתן
קוֹלוֹ,קולו
שָׁאֹג,שאוג
יִשְׁאַג,ישאג
עַל,על
נָוֵהוּ,נווהו
וְסִימָן,וסימן
מִשְׁמָרָה,משמרה
רִאשׁוֹנָה,ראשונה
חֲמוֹר,חמור
נוֹעֵר,נוער
שְׁנִיָּה,שנייה
כְּלָבִים,כלבים
צוֹעֲקִים,צועקים
שְׁלִישִׁית,שלישית
תִּינוֹק,תינוק
יוֹנֵק,יונק
מִשְּׁדֵי,משדי
אִמּוֹ,אמו
וְאִשָּׁה,ואישה
מְסַפֶּרֶת,מספרת
עִם,עם
בַּעֲלָהּ,בעלה
