Chaser, Maleh
,0
מֵאֵימָתַי,מאימתי
קוֹרִין,קורין
אֶת,את
שְׁמַע,שמע
בָּעֲרָבִין,בערבין
מִשָּׁעָה,משעה
שֶׁהַכֹּהֲנִים,שהכהנים
נִכְנָסִים,נכנסים
לֶאֱכֹל,לאכול
בִּתְרוּמָתָן,בתרומתן
עַד,עד
סוֹף,סוף
הָאַשְׁמוּרָה,האשמורה
הָרִאשׁוֹנָה,הראשונה
דִּבְרֵי,דברי
אֱלִיעֶזֶר,אליעזר
וַחֲכָמִים,וחכמים
אוֹמְרִים,אומרים
חֲצוֹת,חצות
רַבָּן,רבן
גַּמְלִיאֵל,גמליאל
אוֹמֵר,אומר
שֶׁיַּעֲלֶה,שיעלה
עַמּוּד,עמוד
הַשַּׁחַר,השחר
מַעֲשֶׂה,מעשה
וּבָאוּ,ובאו
בָנָיו,בניו
מִבֵּית,מבית
הַמִּשְׁתֶּה,המשתה
אָמְרוּ,אמרו
לוֹ,לו
לֹא,לא
קָרִינוּ,קרינו
אָמַר,אמר
לָהֶם,להם
אִם,אם
עָלָה,עלה
חַיָּבִין,חייבין
אַתֶּם,אתם
לִקְרוֹת,לקרות
וְלֹא,ולא
זוֹ,זו
בִּלְבַד,בלבד
אֶלָּא,אלא
כָּל,כל
מַה,מה
שֶּׁאָמְרוּ,שאמרו
חֲכָמִים,חכמים
מִצְוָתָן,מצותן
הֶקְטֵר,הקטר
חֲלָבִים,חלבים
וְאֵבָרִים,ואברים
וְכׇל,וכל
הַנֶּאֱכָלִים,הנאכלים
לְיוֹם,ליום
אֶחָד,אחד
לָמָה,למה
כְּדֵי,כדי
לְהַרְחִיק,להרחיק
אָדָם,אדם
מִן,מן
הָעֲבֵרָה,העבירה
גמ',גמ'
תַּנָּא,תנא
הִיכָא,היכא
קָאֵי,קאי
דְּקָתָנֵי,דקתני
וְתוּ,ותו
מַאי,מאי
שְׁנָא,שנא
דְּתָנֵי,דתני
בְּעַרְבִית,בערבית
בְּרֵישָׁא,ברישא
לִתְנֵי,ליתני
דְּשַׁחֲרִית,דשחרית
אַקְּרָא,אקרא
דִּכְתִיב,דכתיב
בְּשָׁכְבְּךָ,בשכבך
וּבְקוּמֶךָ,ובקומך
וְהָכִי,והכי
קָתָנֵי,קתני
זְמַן,זמן
קְרִיאַת,קריאת
דִּשְׁכִיבָה,דשכיבה
אֵימַת,אימת
נִכְנָסִין,נכנסין
וְאִי,ואי
בָּעֵית,בעית
אֵימָא,אימא
יָלֵיף,יליף
