Chaser,Maleh
,0
הָאָדָם,האדם
רָאוּי,ראוי
שֶׁיִּתְדַּמֶּה,שיתדמה
לְקוֹנוֹ,לקונו
וְאָז,ואז
יִהְיֶה,יהיה
בְּסוֹד,בסוד
הַצּוּרָה,הצורה
הָעֶלְיוֹנָה,העליונה
צֶלֶם,צלם
וּדְמוּת,ודמות
שֶׁאִלּוּ,שאלו
יְדֻמֶּה,ידומה
בְּגוּפוֹ,בגופו
וְלֹא,ולא
בִּפְעֻלּוֹת,בפעולות
הֲרֵי,הרי
הוּא,הוא
מַכְזִיב,מכזיב
וְיֹאמְרוּ,ויאמרו
עָלָיו,עליו
צוּרָה,צורה
נָאָה,נאה
וּמַעֲשִׂים,ומעשים
כְּעוּרִים,כעורים
שֶׁהֲרֵי,שהרי
עִיקָר,עיקר
הַצֶּלֶם,הצלם
וְהַדְּמוּת,והדמות
הָעֶלְיוֹן,העליון
הֵן,הן
פְּעֻלּוֹתָיו,פעולותיו
וּמַה,ומה
יוֹעִיל,יועיל
לוֹ,לו
הֱיוֹתוֹ,היותו
כְּצוּרָה,כצורה
דְּמוּת,דמות
תַּבְנִית,תבנית
אֵבָרָיו,אבריו
וּבַפְּעֻלּוֹת,ובפעולות
לֹא,לא
יִתְדַמֶּה,יתדמה
לְפִיכָךְ,לפיכך
אֶל,אל
פְּעֻלּוֹת,פעולות
הַכֶּתֶר,הכתר
שֶׁהֵן,שהן
"י""ג","י""ג"
מִדּוֹת,מידות
שֶׁל,של
רַחֲמִים,רחמים
עֶלְיוֹנוֹת,עליונות
וּרְמוּזוֹת,ורמוזות
הַפְּסוּקִים,הפסוקים
מיכה,מיכה
ז,ז
יח,יח
מִי,מי
אֵל,אל
כָּמוֹךָ,כמוך
יָשׁוּב,ישוב
יְרַחֲמֵנוּ,ירחמנו
תִּתֵּן,תִּתֵּן
אֱמֶת,אמת
שֶׁתִּמְצָאֶנָּה,שתמצאנה
בוֹ,בו
אֵלּוּ,אלו
וְעַכְשָׁו,ועכשיו
נְפָרֵשׁ,נפרש
אוֹתָן,אותן
הַפְּעֻלּוֹת,הפעולות
שֶׁרָאוּי,שראוי
שֶׁתִּהְיֶינָה,שתהיינה
הָא',הא'
מוֹרֶה,מורה
עַל,על
הֱיוֹת,היות
מֶלֶךְ,מלך
נֶעֱלַב,נעלב
סוֹבֵל,סובל
עֶלְבּוֹן,עלבון
מַה,מה
שֶׁלֹּא,שלא
יְכִילֵהוּ,יכילהו
רַעְיוֹן,רעיון
אֵין,אין
דָּבָר,דבר
נִסְתָּר,נסתר
מֵהַשְׁגָּחָתוֹ,מהשגחתו
בְּלִי,בלי
סָפֵק,ספק
וְעוֹד,ועוד
רֶגַע,רגע
נִזּוֹן,נזון
וּמִתְקַיֵּם,ומתקיים
מִכֹּחַ,מכח
עֶלְיוֹן,עליון
הַשּׁוֹפֵעַ,השופע
